Comparison Report
=================
Test Image 1: Distance = 0.1391, Status: Anomaly Detected
Test Image 2: Distance = 0.1224, Status: Anomaly Detected
Test Image 3: Distance = 0.1747, Status: Anomaly Detected
Test Image 4: Distance = 0.1453, Status: Anomaly Detected
Test Image 5: Distance = 0.1553, Status: Anomaly Detected
Test Image 6: Distance = 0.1429, Status: Anomaly Detected
Test Image 7: Distance = 0.1440, Status: Anomaly Detected
Test Image 8: Distance = 0.1577, Status: Anomaly Detected
Test Image 9: Distance = 0.1410, Status: Anomaly Detected
Test Image 10: Distance = 0.1117, Status: Anomaly Detected
Test Image 11: Distance = 0.1186, Status: Anomaly Detected
Test Image 12: Distance = 0.0595, Status: No Anomaly
Test Image 13: Distance = 0.1227, Status: Anomaly Detected
Test Image 14: Distance = 0.0691, Status: No Anomaly
Test Image 15: Distance = 0.0992, Status: No Anomaly
Test Image 16: Distance = 0.0953, Status: No Anomaly
Test Image 17: Distance = 0.0783, Status: No Anomaly
Test Image 18: Distance = 0.1082, Status: Anomaly Detected
Test Image 19: Distance = 0.0913, Status: No Anomaly
Test Image 20: Distance = 0.1203, Status: Anomaly Detected
Test Image 21: Distance = 0.0396, Status: No Anomaly
Test Image 22: Distance = 0.0386, Status: No Anomaly
Test Image 23: Distance = 0.0243, Status: No Anomaly
Test Image 24: Distance = 0.0494, Status: No Anomaly
Test Image 25: Distance = 0.0148, Status: No Anomaly
Test Image 26: Distance = 0.1003, Status: Anomaly Detected
Test Image 27: Distance = 0.0144, Status: No Anomaly
Test Image 28: Distance = 0.1192, Status: Anomaly Detected
Test Image 29: Distance = 0.0107, Status: No Anomaly
Test Image 30: Distance = 0.0635, Status: No Anomaly
Test Image 31: Distance = 0.0085, Status: No Anomaly
Test Image 32: Distance = 0.1229, Status: Anomaly Detected
Test Image 33: Distance = 0.0072, Status: No Anomaly
Test Image 34: Distance = 0.1321, Status: Anomaly Detected
Test Image 35: Distance = 0.0042, Status: No Anomaly
Test Image 36: Distance = 0.0969, Status: No Anomaly
Test Image 37: Distance = 0.0076, Status: No Anomaly
Test Image 38: Distance = 0.0973, Status: No Anomaly
Test Image 39: Distance = 0.0205, Status: No Anomaly
Test Image 40: Distance = 0.0467, Status: No Anomaly
Test Image 41: Distance = 0.0357, Status: No Anomaly
Test Image 42: Distance = 0.0325, Status: No Anomaly
Test Image 43: Distance = 0.0501, Status: No Anomaly
Test Image 44: Distance = 0.0422, Status: No Anomaly
Test Image 45: Distance = 0.0819, Status: No Anomaly
Test Image 46: Distance = 0.0970, Status: No Anomaly
Test Image 47: Distance = 0.1344, Status: Anomaly Detected
Test Image 48: Distance = 0.1360, Status: Anomaly Detected
Test Image 49: Distance = 0.1333, Status: Anomaly Detected
Test Image 50: Distance = 0.0715, Status: No Anomaly
